Pincode,Village/Locality name,Sub-distname,Districtname,StateName
560083,Hullahalli,Anekal,BANGALORE,KARNATAKA
560083,Ragihalli,Anekal,BANGALORE,KARNATAKA
560083,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560083,Shivanahalli,Anekal,BANGALORE,KARNATAKA
560083,Kalkere,Anekal,BANGALORE,KARNATAKA
560083,Sakalawara,Anekal,BANGALORE,KARNATAKA
560083,Ramnaikanahalli,Anekal,BANGALORE,KARNATAKA
560083,Hullukasavanahalli,Anekal,BANGALORE,KARNATAKA
560084,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560084,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560085,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560085,Bidarahalli,Bangalore South,BANGALORE,KARNATAKA
560085,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560086,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560087,Harohalli,Hosakote,BANGALORE RURAL,KARNATAKA
560087,Janthagondanahalli,Anekal,BANGALORE,KARNATAKA
560087,Ajjagondahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560087,Halasahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560087,Heggondahalli,Anekal,BANGALORE,KARNATAKA
560087,Madappanahalli,Anekal,BANGALORE,KARNATAKA
560087,Sorahunise,Bangalore South,BANGALORE,KARNATAKA
560087,Nekkundi Dommasandra,Anekal,BANGALORE,KARNATAKA
560087,Varthur,Bangalore South,BANGALORE,KARNATAKA
560087,Varthur Narasimhapura,Bangalore South,BANGALORE,KARNATAKA
560087,Dommasandra,Bangalore South,BANGALORE,KARNATAKA
560087,Gunjur,Bangalore South,BANGALORE,KARNATAKA
560087,Hosahalli,Bangalore South,BANGALORE,KARNATAKA
560087,Kotur,Hosakote,BANGALORE RURAL,KARNATAKA
560087,Valepura,Bangalore South,BANGALORE,KARNATAKA
560087,Chikkanekkundi,Anekal,BANGALORE,KARNATAKA
560087,Kacharakanahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560087,Muthasandra,Hosakote,BANGALORE RURAL,KARNATAKA
